name,url,rank,net cost,aid,in-state tuition,out-state tuition,housing,meals,books,median earnings,location,address,student-faculty ratio,acceptance rate,application deadline,graduation rate,employed 2 years post graduation,full-time undergraduates,part-time undergrads,undergrads over 25,pell-grant recipients,varsity athletes,public/private,coordinates,<$30k,$30-48k,$49-75k,$76-110k,$110k+,tuition,undergrads
St. Mary's College of Maryland,https://www.niche.com/colleges/st-marys-college-of-maryland/,423,20714,10265,15180,31317,8167,6594,900,52200,"ST. MARY'S CITY, MD","47645 COLLEGE DR ST. MARY'S CITY, MD 20686",10:1,77,January 15,71,93,1455,42,3,18,28,Public College,"[38.192527, -76.429256]",5213,9457,12754,19612,24818,23248,1497
Saint Mary's University of Minnesota,https://www.niche.com/colleges/saint-marys-university-of-minnesota/,424,22843,30091,42500,42500,5720,5100,1600,47800,"WINONA, MN","700 TERRACE HEIGHTS WINONA, MN 55987",5:1,97,Rolling Admissions,65,95,862,238,20,25,38,Private,"[44.0453929, -91.6979645]",15068,16916,18301,20178,24547,42500,1100
Hobart and William Smith,https://www.niche.com/colleges/hobart-and-william-smith/,425,34259,44331,63404,63404,8955,7955,1300,53500,"GENEVA, NY","337 PULTENEY ST GENEVA, NY 14456",9:1,69,March 1,74,94,1780,14,1,27,39,Private,"[42.8580705, -76.984309]",19352,11523,19653,22959,40907,63404,1794
Heritage University,https://www.niche.com/colleges/heritage-university/,426,7841,17929,19500,19500,-1,-1,942,35900,"TOPPENISH, WA","3240 FORT RD TOPPENISH, WA 98948",9:1,100,Rolling Admissions,45,85,708,88,32,66,-1,Private,"[46.374282, -120.3955318]",5164,8024,8908,13895,13653,19500,796
Northeastern Illinois University,https://www.niche.com/colleges/northeastern-illinois-university/,427,14262,15143,12101,22192,7742,-1,2400,37900,"CHICAGO, IL","5500 N SAINT LOUIS AVE CHICAGO, IL 60625",9:1,63,August 1,19,89,2525,0,39,69,-1,Public College,"[41.981343, -87.7185615]",9908,16046,17161,22438,24339,17146,2525
Maryville University,https://www.niche.com/colleges/maryville-university/,428,26757,17914,27166,27166,8900,3100,3176,47200,"SAINT LOUIS, MO","650 MARYVILLE UNIVERSITY DR SAINT LOUIS, MO 63141",6:1,88,Rolling Admissions,67,93,2640,86,4,30,14,Private,"[38.6449307, -90.5044377]",21011,20872,24174,26377,26516,27166,2726
Baldwin Wallace University,https://www.niche.com/colleges/baldwin-wallace-university/,429,28705,24981,38832,38832,6258,6538,1500,44400,"BEREA, OH","275 EASTLAND RD BEREA, OH 44017",9:1,77,Rolling Admissions,65,95,2707,102,5,29,25,Private,"[41.3683228, -81.8446531]",22161,22634,23979,27944,31232,38832,2809
Northwest University,https://www.niche.com/colleges/northwest-university/,430,23722,22486,35000,35000,-1,-1,942,41300,"KIRKLAND, WA","5520 108TH AVE NE KIRKLAND, WA 98083",6:1,94,August 1,68,89,647,15,2,24,27,Private,"[47.6575613, -122.1958043]",18753,13603,18914,22193,25654,35000,662
Rowan University,https://www.niche.com/colleges/rowan-university/,431,20963,11246,16574,26932,9084,4930,1120,50000,"GLASSBORO, NJ","201 MULLICA HILL RD GLASSBORO, NJ 08028",12:1,77,March 1,68,95,13207,0,11,31,4,Public College,"[39.708654, -75.1178927]",14013,14385,20768,26072,27448,21753,13207
Saint Francis University,https://www.niche.com/colleges/saint-francis-university/,432,27459,28453,39820,39820,6302,7150,2000,52200,"LORETTO, PA","117 EVERGREEN DR LORETTO, PA 15940",11:1,73,Rolling Admissions,72,96,1490,971,8,27,33,Private,"[40.5066786, -78.6389958]",42740,40228,43754,31348,33863,39820,2461
"California State University, Chico",https://www.niche.com/colleges/california-state-university-chico/,433,15517,9162,8476,18552,8609,3881,1210,48100,"CHICO, CA","FIRST AND NORMAL STS CHICO, CA 95929",21:1,95,December 15,64,92,13040,0,21,39,3,Public College,"[36.7677317, -119.772616]",10716,11375,14988,19506,23714,13514,13040
Indiana University Southeast,https://www.niche.com/colleges/indiana-university-southeast/,434,8264,7262,8577,22964,-1,-1,840,37900,"NEW ALBANY, IN","4201 GRANT LINE RD NEW ALBANY, IN 47150",11:1,85,Rolling Admissions,35,92,2287,999,22,40,4,Public College,"[38.347035, -85.819421]",4601,5930,9692,12190,14135,15770,3286
Stephen F. Austin State University,https://www.niche.com/colleges/stephen-f-austin-state-university/,435,13858,10363,10600,21616,-1,-1,1202,41900,"NACOGDOCHES, TX","2008 ALUMNI DR RUSK 206 NACOGDOCHES, TX 75961",15:1,90,Rolling Admissions,53,93,7855,0,11,40,4,Public College,"[31.6210469, -94.6490496]",10757,11484,14359,19094,21919,16108,7855
University of Evansville,https://www.niche.com/colleges/university-of-evansville/,436,19301,34067,42800,42800,7110,7090,1200,41800,"EVANSVILLE, IN","1800 LINCOLN AVE EVANSVILLE, IN 47722",8:1,76,Rolling Admissions,65,94,1450,37,4,27,17,Private,"[37.9716935, -87.5316772]",14225,14514,18882,20521,24687,42800,1487
Stetson University,https://www.niche.com/colleges/stetson-university/,437,25756,42150,54820,54820,8820,7830,1200,43200,"DELAND, FL","421 N WOODLAND BLVD DELAND, FL 32723",8:1,94,Rolling Admissions,64,92,2485,76,3,45,18,Private,"[29.0349499, -81.3032111]",21345,22720,22939,27436,33561,54820,2561
SUNY Farmingdale State College,https://www.niche.com/colleges/suny-farmingdale-state-college/,438,8111,10382,8556,18486,8578,5570,1300,51700,"FARMINGDALE, NY","2350 BRDHOLLOW RD FARMINGDALE, NY 11735",18:1,73,June 1,54,92,7388,0,15,42,4,Public College,"[40.752973, -73.4287017]",3294,5777,10235,13361,15922,13521,7388
University of Louisiana at Lafayette,https://www.niche.com/colleges/university-of-louisiana-at-lafayette/,439,13036,10672,11248,24976,7202,4440,1300,39900,"LAFAYETTE, LA","104 E UNIVERSITY CIRCLE  LAFAYETTE, LA 70503",17:1,75,July 1,51,92,10598,0,12,47,4,Public College,"[30.2165168, -92.0192693]",11325,12030,15188,17222,18192,18112,10598
University of Nebraska at Kearney,https://www.niche.com/colleges/university-of-nebraska-at-kearney/,440,16564,7282,7984,13786,5596,5348,750,41300,"KEARNEY, NE","2504 9TH AVE KEARNEY, NE 68849",11:1,86,Rolling Admissions,54,95,3672,597,13,37,12,Public College,"[40.7006686, -99.0946636]",14677,14929,16464,19605,21068,10885,4269
Drury University,https://www.niche.com/colleges/drury-university/,441,20996,24535,33830,33830,6854,3378,1240,32200,"SPRINGFIELD, MO","900 N BENTON AVE SPRINGFIELD, MO 65802",11:1,64,Rolling Admissions,64,84,1355,20,3,25,30,Private,"[37.2196512, -93.2869414]",13749,15885,18464,21175,25330,33830,1375
Salve Regina University,https://www.niche.com/colleges/salve-regina-university/,442,37997,26787,47930,47930,9670,6830,1550,53500,"NEWPORT, RI","100 OCHRE POINT AVE NEWPORT, RI 02840",11:1,70,February 1,76,95,2064,53,3,15,26,Private,"[41.4727888, -71.2997073]",28019,28838,30137,32698,39477,47930,2117
California State Polytechnic University - Pomona,https://www.niche.com/colleges/california-state-polytechnic-university-pomona/,443,12480,9040,7439,19319,10980,5702,1067,54000,"POMONA, CA","3801 W TEMPLE AVE POMONA, CA 91768",24:1,55,November 30,66,92,21491,0,18,44,1,Public College,"[34.0602846, -117.8173502]",7832,9321,12143,16173,20173,13379,21491
East Carolina University,https://www.niche.com/colleges/east-carolina-university/,444,14410,9020,7516,23793,5800,4380,1654,40500,"GREENVILLE, NC","EAST 5TH ST GREENVILLE, NC 27858",13:1,92,Rolling Admissions,65,94,17255,0,16,36,2,Public College,"[35.603873649809906, -77.34027885235103]",11494,12880,17577,21640,22499,15654,17255
Northern Kentucky University,https://www.niche.com/colleges/northern-kentucky-university/,445,7259,11275,10592,20848,-1,-1,800,37500,"HIGHLAND HEIGHTS, KY","NUNN DR HIGHLAND HEIGHTS, KY 41099",11:1,86,January 16,50,93,7412,0,18,33,4,Public College,"[39.0320189, -84.4662972]",466,2082,6219,10860,12744,15720,7412
Lubbock Christian University,https://www.niche.com/colleges/lubbock-christian-university/,446,23551,14745,28540,28540,-1,-1,1300,41800,"LUBBOCK, TX","5601 19TH ST LUBBOCK, TX 79407",11:1,93,Rolling Admissions,49,90,1135,211,11,37,9,Private,"[33.5772482, -101.934726]",21473,22072,24116,25499,24135,28540,1346
"Minnesota State University, Mankato",https://www.niche.com/colleges/minnesota-state-university-mankato/,447,16809,6961,9756,19454,7200,3406,1042,44900,"MANKATO, MN","228 WIECKING CENTER MANKATO, MN 56001",20:1,71,Rolling Admissions,53,96,9943,0,11,23,6,Public College,"[44.151329, -94.000603]",12115,12389,14810,18896,21186,14605,9943
Salisbury University,https://www.niche.com/colleges/salisbury-university/,448,19756,6917,10396,20872,7480,5510,1300,50500,"SALISBURY, MD","1101 CAMDEN AVE SALISBURY, MD 21801",12:1,91,January 15,69,96,5853,525,6,24,9,Public College,"[38.343686, -75.6084804]",10337,13682,17318,21035,22991,15634,6378
Middle Tennessee State University,https://www.niche.com/colleges/middle-tennessee-state-university/,449,13062,9421,9232,28264,5572,4200,1260,38700,"MURFREESBORO, TN","1301 EAST MAIN ST MURFREESBORO, TN 37132",15:1,73,Rolling Admissions,55,93,13884,0,15,37,2,Public College,"[35.8462797, -86.369042]",8765,10588,13829,17776,17758,18748,13884
Indiana University - Northwest,https://www.niche.com/colleges/indiana-university-northwest/,450,6553,8754,7941,21301,-1,-1,840,36300,"GARY, IN","3400 BROADWAY GARY, IN 46408",11:1,80,Rolling Admissions,37,91,1975,885,25,53,4,Public College,"[41.5574185, -87.3376243]",3553,4216,7855,11312,13057,14621,2860
University of the Incarnate Word,https://www.niche.com/colleges/university-of-the-incarnate-word/,451,20832,24805,37090,37090,7800,5200,250,46500,"SAN ANTONIO, TX","4301 BROADWAY SAN ANTONIO, TX 78209",9:1,94,Rolling Admissions,53,93,3992,732,26,51,14,Private,"[29.4671783, -98.4648351]",18307,18470,19694,24789,26082,37090,4724
Pacific Lutheran University,https://www.niche.com/colleges/pacific-lutheran-university/,452,24825,36435,49472,49472,5142,6684,702,49400,"TACOMA, WA","12180 PARK AVE SOUTH TACOMA, WA 98447",10:1,89,Rolling Admissions,72,94,2192,109,7,41,19,Private,"[47.1460242, -122.4420062]",17751,17563,19030,26941,28964,49472,2301
Purdue University Northwest,https://www.niche.com/colleges/purdue-university-northwest/,453,9162,7070,8675,12587,5967,-1,1500,0,"HAMMOND, IN","2200 169TH ST HAMMOND, IN 46323",20:1,63,Rolling Admissions,44,-1,4710,0,16,41,5,Public College,"[41.5794266, -87.475091]",4487,6620,10207,13632,14387,10631,4710
University of South Carolina Aiken,https://www.niche.com/colleges/university-of-south-carolina-aiken/,454,11872,9891,10760,21218,5316,3060,1240,37100,"AIKEN, SC","471 UNIVERSITY PKWY AIKEN, SC 29801",14:1,76,Rolling Admissions,42,93,2452,693,19,46,8,Public College,"[33.5732315, -81.7669901]",8278,10095,12960,15134,16265,15989,3145
California State University - Channel Islands,https://www.niche.com/colleges/california-state-university-channel-islands/,455,13540,9412,7144,19744,9740,4920,1126,49800,"CAMARILLO, CA","1 UNIVERSITY DR CAMARILLO, CA 93012",16:1,90,December 2,57,92,4319,0,26,47,-1,Public College,"[34.1645541, -119.0445936]",9487,10331,13885,18958,22489,13444,4319
Miami University,https://www.niche.com/colleges/miami-university/,456,23031,14752,17808,40024,9671,5782,1240,47100,"OXFORD, OH","501 EAST HIGH ST OXFORD, OH 45056",17:1,88,February 1,81,92,16434,430,1,11,3,Public College,"[39.5094589, -84.73448]",16970,18309,23621,25398,26610,28916,16864
University of Tampa,https://www.niche.com/colleges/university-of-tampa/,457,34653,14034,32218,32218,6330,6002,1500,48600,"TAMPA, FL","401 W KENNEDY BLVD TAMPA, FL 33606",14:1,26,February 1,66,93,9356,246,2,16,6,Private,"[27.947424, -82.463324]",28910,29998,31714,33655,35905,32218,9602
Bryant University,https://www.niche.com/colleges/bryant-university/,458,40361,25615,51780,51780,10104,6747,1400,69300,"SMITHFIELD, RI","1150 DOUGLAS PIKE SMITHFIELD, RI 02917",16:1,69,February 1,83,97,3216,24,0,12,20,Private,"[41.9184131, -71.5349652]",34692,35481,37271,40235,42403,51780,3240
Kennesaw State University,https://www.niche.com/colleges/kennesaw-state-university/,459,18079,7854,5700,20610,8400,4547,1500,41300,"KENNESAW, GA","1000 CHASTAIN RD KENNESAW, GA 30144",22:1,68,July 1,46,89,30256,0,12,41,1,Public College,"[34.03817, -84.582999]",15610,16241,18784,20890,21123,13155,30256
Grand Valley State University,https://www.niche.com/colleges/grand-valley-state-university/,460,17105,8811,15140,21548,6440,3700,756,42800,"ALLENDALE, MI","1 CAMPUS DR ALLENDALE, MI 49401",14:1,90,Rolling Admissions,66,95,17230,0,7,27,4,Public College,"[42.9643775, -85.8896495]",8344,9395,12987,17964,21496,18344,17230
Anderson University - South Carolina,https://www.niche.com/colleges/anderson-university-south-carolina/,461,21633,24409,34920,34920,5570,5330,1200,35200,"ANDERSON, SC","316 BLVD ANDERSON, SC 29621",11:1,45,Rolling Admissions,60,93,2841,396,7,21,12,Private,"[34.5138271, -82.6388401]",19034,19758,18813,22725,23476,34920,3237
"California State University, San Bernardino",https://www.niche.com/colleges/california-state-university-san-bernardino/,462,8805,9871,7678,19366,7644,3540,1393,44500,"SAN BERNARDINO, CA","5500 UNIVERSITY PARKWAY SAN BERNARDINO, CA 92407",20:1,91,January 31,54,90,13495,0,23,63,2,Public College,"[34.1826225, -117.3238085]",5949,6490,8999,12729,16487,13522,13495
University of Texas - El Paso,https://www.niche.com/colleges/university-of-texas-el-paso/,463,9563,10564,9744,25152,5200,4581,1646,40000,"EL PASO, TX","500 W UNIVERSITY AVE EL PASO, TX 79968",18:1,100,Rolling Admissions,47,90,13683,0,19,68,3,Public College,"[31.7710781, -106.5068027]",8687,9349,11072,14970,17731,17448,13683
University of Denver,https://www.niche.com/colleges/university-of-denver/,464,42423,30954,56439,56439,9372,5925,1000,56500,"DENVER, CO","2199 S UNIVERSITY BLVD DENVER, CO 80208",5:1,78,January 15,77,90,5666,485,6,16,7,Private,"[39.6766391, -104.9614184]",21832,21182,26213,31356,44714,56439,6151
University of Central Missouri,https://www.niche.com/colleges/university-of-central-missouri/,465,15117,6517,9735,18060,6095,4198,1250,38000,"WARRENSBURG, MO","108 W SOUTH ST WARRENSBURG, MO 64093",13:1,71,Rolling Admissions,53,94,5203,0,14,33,9,Public College,"[38.7598398, -93.7410739]",11376,12256,15021,17494,17660,13897,5203
Keiser University - Fort Lauderdale,https://www.niche.com/colleges/keiser-university-fort-lauderdale/,466,35346,8044,23248,23248,-1,-1,2000,31100,"FORT LAUDERDALE, FL","1500 NW 49TH ST FORT LAUDERDALE, FL 33309",8:1,97,Rolling Admissions,58,86,9812,0,62,56,8,Private,"[26.1859774, -80.1638009]",35650,35703,36897,36278,36258,23248,9812
University of North Texas at Dallas,https://www.niche.com/colleges/university-of-north-texas-at-dallas/,467,10351,11598,9518,21758,6010,3292,1500,0,"DALLAS, TX","7300 UNIVERSITY HILLS DR DALLAS, TX 75241",12:1,94,Rolling Admissions,44,-1,1709,0,35,62,5,Public College,"[32.6596129, -96.8033631]",7994,8353,10468,14012,14320,15638,1709
"University at Albany, SUNY",https://www.niche.com/colleges/university-at-albany-suny/,468,17714,11485,10408,28248,9748,5850,1000,51500,"ALBANY, NY","1400 WASHINGTON AVE ALBANY, NY 12222",15:1,68,Rolling Admissions,66,94,11541,723,5,45,4,Public College,"[42.6855442, -73.8246594]",11445,14048,18606,19911,23434,19328,12264
Illinois Institute of Technology,https://www.niche.com/colleges/illinois-institute-of-technology/,469,28702,40243,50640,50640,6979,7564,1200,69100,"CHICAGO, IL","10 WEST 35TH ST CHICAGO, IL 60616",8:1,61,February 1,75,92,2707,418,10,30,9,Private,"[41.8313232, -87.6273039]",18815,20084,21445,23776,30343,50640,3125
The University of Baltimore,https://www.niche.com/colleges/the-university-of-baltimore/,470,18122,7544,9506,22956,-1,-1,1600,58000,"BALTIMORE, MD","CHARLES AT MOUNT ROYAL BALTIMORE, MD 21201",5:1,89,Rolling Admissions,33,89,755,614,62,48,-1,Public College,"[39.305425, -76.6161817]",15324,16555,17411,20780,23198,16231,1369
West Texas A&M University,https://www.niche.com/colleges/west-texas-a-and-m-university/,471,17001,7500,9101,10996,5720,4140,1200,42700,"CANYON, TX","2501 4TH AVE CANYON, TX 79016",15:1,92,August 1,45,91,5316,0,21,39,8,Public College,"[34.9813817, -101.9157995]",16868,17523,20609,22506,22649,10048,5316
Mount St. Joseph University,https://www.niche.com/colleges/mount-st-joseph-university/,472,17506,25149,33750,33750,5300,5350,1200,41400,"CINCINNATI, OH","5701 DELHI RD CINCINNATI, OH 45233",8:1,54,Rolling Admissions,51,93,1050,373,8,39,49,Private,"[39.0958829, -84.6386639]",12779,12673,14583,19182,22432,33750,1423
Bob Jones University,https://www.niche.com/colleges/bob-jones-university/,473,18733,13717,21890,21890,-1,-1,1200,0,"GREENVILLE, SC","1700 WADE HAMPTON BOULAVARD GREENVILLE, SC 29614",11:1,100,Rolling Admissions,69,90,2265,400,5,39,11,Private,"[34.8741311, -82.3633094]",12656,14167,15977,20120,23395,21890,2665
Winston-Salem State University,https://www.niche.com/colleges/winston-salem-state-university/,474,14097,8350,6276,16932,7348,3872,1690,33200,"WINSTON-SALEM, NC","601 S. MARTIN LUTHER KING JR DR WINSTON-SALEM, NC 27110",14:1,73,June 30,50,94,3897,616,14,74,6,Public College,"[36.0896065, -80.2245672]",12353,13854,17019,20177,21307,11604,4513
The University of West Alabama,https://www.niche.com/colleges/the-university-of-west-alabama/,475,13786,9291,10990,20090,4760,3060,1216,37400,"LIVINGSTON, AL","STATION ONE LIVINGSTON, AL 35470",11:1,69,Rolling Admissions,38,90,1901,526,39,62,18,Public College,"[32.51467542081455, -88.27512429769648]",12558,13369,16129,15553,15705,15540,2427
Vanguard University of Southern California,https://www.niche.com/colleges/vanguard-university-of-southern-california/,476,24279,28914,38700,38700,7180,5760,1150,41800,"COSTA MESA, CA","55 FAIR DR COSTA MESA, CA 92626",15:1,75,March 2,60,92,1830,171,11,51,23,Private,"[33.6633437, -117.9010958]",18883,19218,22090,25240,30300,38700,2001
Marian University Indianapolis,https://www.niche.com/colleges/marian-university-indianapolis/,477,22554,28904,37600,37600,5400,5920,1200,43300,"INDIANAPOLIS, IN","3200 COLD SPRING RD INDIANAPOLIS, IN 46222",9:1,94,Rolling Admissions,64,93,2090,543,28,38,37,Private,"[39.8123295, -86.2026073]",19412,18259,20374,24576,25706,37600,2633
Christopher Newport University,https://www.niche.com/colleges/christopher-newport-university/,478,23287,8022,27774,41012,7310,4680,1396,46900,"NEWPORT NEWS, VA","1 AVE OF THE ARTS NEWPORT NEWS, VA 23606",13:1,85,February 1,76,96,4388,84,1,15,14,Public College,"[37.0639694, -76.4948689]",10562,13690,17026,24805,28609,34393,4472
University of Arkansas at Little Rock,https://www.niche.com/colleges/university-of-arkansas-at-little-rock/,479,11173,10494,9889,22204,5180,3750,1250,34900,"LITTLE ROCK, AR","2801 S UNIVERSITY AVE LITTLE ROCK, AR 72204",9:1,61,Rolling Admissions,42,89,2961,0,36,50,9,Public College,"[34.7242674, -92.3410303]",14678,16019,18993,20744,21300,16046,2961
Oakland University,https://www.niche.com/colleges/oakland-university/,480,15161,9755,14476,23730,-1,-1,800,43100,"ROCHESTER HILLS, MI","2200 NORTH SQUIRREL RD ROCHESTER HILLS, MI 48309",14:1,90,Rolling Admissions,58,92,10244,0,15,37,3,Public College,"[42.674361, -83.2165993]",8135,8139,11703,17798,20242,19103,10244
Franklin & Marshall College,https://www.niche.com/colleges/franklin-and-marshall-college/,481,31135,49177,70794,70794,8900,6140,1200,58900,"LANCASTER, PA","637 COLLEGE AVE LANCASTER, PA 17604",9:1,36,January 6,86,95,1902,9,0,16,34,Private,"[40.04749, -76.3178683]",16051,8514,17660,28761,48305,70794,1911
Thomas University,https://www.niche.com/colleges/thomas-university/,482,12557,8178,11080,11080,-1,-1,2000,34300,"THOMASVILLE, GA","1501 MILLPOND RD THOMASVILLE, GA 31792",6:1,46,Rolling Admissions,67,87,506,287,43,49,50,Private,"[30.8154427, -83.9650438]",15597,15813,16365,16714,26004,11080,793
Southern Nazarene University,https://www.niche.com/colleges/southern-nazarene-university/,483,22098,19948,29400,29400,7900,4200,1460,47600,"BETHANY, OK","6729 NW 39TH EXPY BETHANY, OK 73008",8:1,100,Rolling Admissions,57,92,887,25,4,50,50,Private,"[35.5118945, -97.6285638]",18260,17823,21549,23555,27174,29400,912
Northwestern College - Iowa,https://www.niche.com/colleges/northwestern-college-iowa/,484,25198,22228,34250,34250,-1,-1,1150,38400,"ORANGE CITY, IA","101 SEVENTH ST SW ORANGE CITY, IA 51041",9:1,87,Rolling Admissions,63,94,1019,134,5,26,61,Private,"[42.9979714, -96.0582503]",19324,21190,22765,20833,25550,34250,1153
University of Wisconsin-Parkside,https://www.niche.com/colleges/university-of-wisconsin-parkside/,485,8510,7098,7466,15736,4905,2900,630,39900,"KENOSHA, WI","900 WOOD RD KENOSHA, WI 53144",15:1,73,Rolling Admissions,40,94,2394,842,20,35,11,Public College,"[42.6476913, -87.8551169]",5349,5779,10020,13751,14941,11601,3236
Clayton State University,https://www.niche.com/colleges/clayton-state-university/,486,9792,8529,5068,15790,6858,4122,2074,38800,"MORROW, GA","2000 CLAYTON STATE BLVD MORROW, GA 30260",16:1,57,July 15,34,90,3023,0,31,77,5,Public College,"[33.5943738, -84.3283959]",9343,10097,12562,15056,14978,10429,3023
Martin Luther College,https://www.niche.com/colleges/martin-luther-college/,487,22293,6301,18120,18120,-1,-1,800,37300,"NEW ULM, MN","1995 LUTHER CT NEW ULM, MN 56073",7:1,84,May 1,74,96,613,142,18,28,38,Private,"[44.3054388, -94.4719282]",17830,18668,17793,21039,25706,18120,755
University of Minnesota Morris,https://www.niche.com/colleges/university-of-minnesota-morris/,488,11169,13964,14288,16438,4478,5044,800,40700,"MORRIS, MN","600 E 4TH ST MORRIS, MN 56267",9:1,78,Rolling Admissions,58,93,994,74,3,29,28,Public College,"[45.5897259, -95.8998423]",684,892,5763,13406,18194,15363,1068
Western Carolina University,https://www.niche.com/colleges/western-carolina-university/,489,13022,4526,3497,5497,6475,5029,664,37700,"CULLOWHEE, NC","1 UNIVERSITY DR CULLOWHEE, NC 28723",14:1,85,February 1,61,94,8200,0,20,36,4,Public College,"[35.3092473, -83.183142]",9032,11543,14061,16629,18130,4497,8200
University of Louisiana - Monroe,https://www.niche.com/colleges/university-of-louisiana-monroe/,490,11353,12768,9082,21182,2994,3968,1300,37500,"MONROE, LA","700 UNIVERSITY AVE MONROE, LA 71209",13:1,70,Rolling Admissions,51,92,4098,0,12,46,9,Public College,"[32.5278994, -92.0744919]",10488,10199,12108,15494,14173,15132,4098
Gallaudet University,https://www.niche.com/colleges/gallaudet-university/,491,13787,25648,17712,17712,8000,6800,1600,31000,"WASHINGTON, DC","800 FLORIDA AVE NE WASHINGTON, DC 20002",5:1,59,Rolling Admissions,44,82,852,62,27,63,34,Private,"[38.9057751, -76.9949189]",9127,11632,13876,16807,24402,17712,914
Loyola University Maryland,https://www.niche.com/colleges/loyola-university-maryland/,492,33312,36621,53430,53430,11750,6200,1100,68100,"BALTIMORE, MD","4501 N CHARLES ST BALTIMORE, MD 21210",11:1,83,January 15,79,96,3947,30,1,19,11,Private,"[39.3457909, -76.6217056]",23406,25405,24427,28937,36362,53430,3977
Johnson University,https://www.niche.com/colleges/johnson-university/,493,21012,9423,18428,18428,3500,4180,1200,29800,"KNOXVILLE, TN","7900 JOHNSON DR KNOXVILLE, TN 37998",10:1,63,Rolling Admissions,66,91,605,64,11,34,34,Private,"[35.9371663, -83.7502985]",16064,15974,20109,23573,25167,18428,669
Manhattan University,https://www.niche.com/colleges/manhattan-university/,494,29535,31882,48658,48658,-1,-1,1200,65000,"RIVERDALE, NY","4513 MANHATTAN COLLEGE PARKWAY RIVERDALE, NY 10471",10:1,82,Rolling Admissions,72,95,2918,148,6,30,14,Private,"[40.8900526, -73.9008129]",25303,26429,29113,29698,30634,48658,3066
Southwestern Adventist University,https://www.niche.com/colleges/southwestern-adventist-university/,495,20028,13959,24060,24060,4250,4250,1200,41500,"KEENE, TX","100 W HILLCREST KEENE, TX 76059",9:1,54,August 1,47,86,594,192,15,59,11,Private,"[32.3969988, -97.3270416]",17794,18355,18581,22302,23299,24060,786
University of Minnesota Duluth,https://www.niche.com/colleges/university-of-minnesota-duluth/,496,18031,7345,14318,19762,-1,-1,1000,47200,"DULUTH, MN","515 DARLAND ADMINISTRATION BLDG DULUTH, MN 55812",16:1,81,Rolling Admissions,62,97,7448,0,3,21,5,Public College,"[46.8187815, -92.0843214]",3137,4293,11465,17694,24097,17040,7448
Sam Houston State University,https://www.niche.com/colleges/sam-houston-state-university/,497,13632,10499,9228,19020,6008,4900,1380,44600,"HUNTSVILLE, TX","1905 UNIVERSITY AVE HUNTSVILLE, TX 77340",17:1,85,Rolling Admissions,56,93,14533,0,14,44,2,Public College,"[30.7132699, -95.5503865]",10354,11586,15540,20752,22678,14124,14533
Touro University,https://www.niche.com/colleges/touro-university/,498,23960,9941,21170,21170,8240,3800,1126,30400,"NEW YORK, NY","3 TIMES SQUARE NEW YORK, NY 10036",5:1,71,Rolling Admissions,68,82,2995,0,35,40,0,Private,"[40.7568442, -73.9897176]",20739,20891,23873,25568,27984,21170,2995
Milwaukee School of Engineering,https://www.niche.com/colleges/milwaukee-school-of-engineering/,499,25661,31850,46385,46385,8015,4479,1000,71300,"MILWAUKEE, WI","1025 N BROADWAY MILWAUKEE, WI 53202",13:1,63,Rolling Admissions,71,97,2514,61,7,24,17,Private,"[43.0438642, -87.9088807]",15843,13227,16332,19408,29378,46385,2575
Brigham Young University - Hawaii,https://www.niche.com/colleges/brigham-young-universityhawaii/,500,15835,5523,6630,6630,-1,-1,1310,42200,"LAIE, HI","55-220 KULANUI ST LAIE, HI 96762",19:1,34,February 1,66,76,2906,117,23,13,0,Private,"[21.6411262, -157.9253934]",13611,14420,15215,17566,16791,6630,3023
North Carolina A&T State University,https://www.niche.com/colleges/north-carolina-a-and-t-state-university/,501,9189,10082,6733,20243,5063,4116,730,34700,"GREENSBORO, NC","1601 E MARKET  ST GREENSBORO, NC 27411",19:1,56,February 1,57,94,10577,0,8,58,2,Public College,"[36.0742595, -79.776149]",7606,8973,12465,16981,17893,13488,10577
University of Central Arkansas,https://www.niche.com/colleges/university-of-central-arkansas/,502,15456,8177,9778,16728,4500,3750,1200,38300,"CONWAY, AR","201 DONAGHEY AVE CONWAY, AR 72035",12:1,91,Rolling Admissions,50,92,6662,0,8,44,20,Public College,"[35.0798173, -92.455656]",13601,14316,16869,18715,19043,13253,6662
University of Mary,https://www.niche.com/colleges/university-of-mary/,503,18369,13371,21062,21062,3770,4500,1068,48000,"BISMARCK, ND","7500 UNIVERSITY DR BISMARCK, ND 58504",10:1,81,Rolling Admissions,64,95,1824,682,13,20,22,Private,"[46.7258715, -100.7530988]",14484,13289,15480,17377,20855,21062,2506
University of Rhode Island,https://www.niche.com/colleges/university-of-rhode-island/,504,20695,13257,15880,34362,8506,5650,1250,52900,"KINGSTON, RI","GREEN HALL 35 CAMPUS AVE KINGSTON, RI 02881",15:1,76,February 1,72,95,12931,0,6,23,4,Public College,"[41.484685, -71.5273685]",11437,13822,17327,22757,27004,25121,12931
Central Michigan University,https://www.niche.com/colleges/central-michigan-university/,505,15605,11314,13740,13740,5562,5686,1000,41900,"MOUNT PLEASANT, MI","102 WARRINER HALL MOUNT PLEASANT, MI 48859",13:1,79,Rolling Admissions,62,95,8937,0,13,31,6,Public College,"[43.5905248, -84.7759581]",10003,10153,12071,15385,17921,13740,8937
