name,url,rank,net cost,aid,in-state tuition,out-state tuition,housing,meals,books,median earnings,location,address,student-faculty ratio,acceptance rate,application deadline,graduation rate,employed 2 years post graduation,full-time undergraduates,part-time undergrads,undergrads over 25,pell-grant recipients,varsity athletes,public/private,coordinates,<$30k,$30-48k,$49-75k,$76-110k,$110k+,tuition,undergrads
University of California - Los Angeles,https://www.niche.com/colleges/university-of-california-los-angeles/,20,16999,21766,13401,43473,-1,-1,1433,60700,"LOS ANGELES, CA","405 HILGARD AVE LOS ANGELES, CA 90095",7:1,9,December 2,92,89,31763,660,3,23,2,Public College,"[34.0703897, -118.4441495]",8849,10440,13335,19395,30301,28437,32423
Cornell University,https://www.niche.com/colleges/cornell-university/,21,26060,54219,66834,88150,10426,6612,1000,77200,"ITHACA, NY","616 THURSTON AVE ITHACA, NY 14853",8:1,7,January 2,95,93,15735,0,0,19,30,Private,"[42.45214, -76.4802847]",4375,5017,8006,20728,48783,77492,15735
Johns Hopkins University,https://www.niche.com/colleges/johns-hopkins-university/,22,24034,54405,64730,64730,10670,7420,1280,73200,"BALTIMORE, MD","3400 N CHARLES ST BALTIMORE, MD 21218",1:1,7,January 2,94,91,5644,400,5,20,10,Private,"[39.3289802, -76.6215713]",156,4342,6419,12838,39451,64730,6044
University of Michigan - Ann Arbor,https://www.niche.com/colleges/university-of-michigan-ann-arbor/,23,19318,15121,16736,55334,-1,-1,1092,63400,"ANN ARBOR, MI","503 THOMPSON ST ANN ARBOR, MI 48109",4:1,18,February 1,93,94,31319,0,2,16,3,Public College,"[42.2754167, -83.7429394]",5713,7376,11621,17865,27711,36035,31319
Claremont McKenna College,https://www.niche.com/colleges/claremont-mckenna-college/,24,28701,50020,60715,60715,10059,8653,1200,72900,"CLAREMONT, CA","500 E 9TH ST CLAREMONT, CA 91711",7:1,10,January 10,91,92,1380,6,0,22,45,Private,"[34.1024256, -117.7065373]",8000,8341,19161,19384,52737,60715,1386
University of Chicago,https://www.niche.com/colleges/university-of-chicago/,25,36991,48422,64260,64260,-1,-1,1800,68100,"CHICAGO, IL","5801 S ELLIS AVE CHICAGO, IL 60637",3:1,5,January 6,96,92,7563,32,1,15,7,Private,"[41.7895539, -87.6009144]",958,1595,3596,13531,47835,64260,7595
University of Notre Dame,https://www.niche.com/colleges/university-of-notre-dame/,26,28474,49859,60301,60301,-1,-1,1250,78400,"NOTRE DAME, IN","400 MAIN BUILDING NOTRE DAME, IN 46556",7:1,13,January 3,96,95,8953,18,0,15,8,Private,"[41.7008695, -86.2332368]",9201,7659,14445,25532,48006,60301,8971
University of Virginia,https://www.niche.com/colleges/university-of-virginia/,27,19469,26818,20342,55914,7790,5810,1400,61200,"CHARLOTTESVILLE, VA","1827 UNIVERSITY AVE CHARLOTTESVILLE, VA 22903",7:1,19,January 5,95,94,16523,921,5,11,5,Public College,"[38.0370401, -78.502623]",11273,12720,14884,23840,32829,38128,17444
University of Southern California,https://www.niche.com/colleges/university-of-southern-california/,28,36808,45262,64726,64726,10506,6930,1200,74000,"LOS ANGELES, CA","UNIVERSITY PARK LOS ANGELES, CA 90089",7:1,12,January 15,92,92,20185,514,2,25,3,Private,"[34.0227518, -118.2840227]",12880,14852,19991,26959,52817,64726,20699
Williams College,https://www.niche.com/colleges/williams-college/,29,20965,57121,64540,64540,7900,7630,1000,59000,"WILLIAMSTOWN, MA","880 MAIN ST WILLIAMSTOWN, MA 01267",6:1,8,January 6,95,90,2146,23,1,14,35,Private,"[42.7127868, -73.20297]",4561,1191,3998,12166,43981,64540,2169
Georgia Institute of Technology,https://www.niche.com/colleges/georgia-institute-of-technology/,30,17402,13992,28584,49696,6918,5424,800,79100,"ATLANTA, GA","225 NORTH AVE ATLANTA, GA 30332",14:1,17,January 6,93,95,16207,0,2,12,3,Public College,"[33.7724616, -84.394648]",8570,11178,14771,18051,18807,39140,16207
Swarthmore College,https://www.niche.com/colleges/swarthmore-college/,31,20715,47703,59328,59328,9104,8922,760,56700,"SWARTHMORE, PA","500 COLLEGE AVE SWARTHMORE, PA 19081",6:1,7,January 4,94,85,1625,0,0,19,26,Private,"[39.9051769, -75.3542161]",5341,8634,13009,18389,50474,59328,1625
Bowdoin College,https://www.niche.com/colleges/bowdoin-college/,32,22776,53534,67198,67198,8050,8722,840,65500,"BRUNSWICK, ME","255 MAINE ST BRUNSWICK, ME 04011",8:1,9,January 6,94,93,1845,5,1,16,35,Private,"[43.9064196, -69.9642248]",2706,5760,10068,19525,38863,67198,1850
University of Florida,https://www.niche.com/colleges/university-of-florida/,33,11740,10555,6381,28659,6350,4600,810,56000,"GAINESVILLE, FL","TIGERT HALL GAINESVILLE, FL 32611",10:1,23,January 15,90,92,31017,0,3,20,2,Public College,"[29.6494368, -82.3398741]",2033,3599,8897,14440,15203,17520,31017
Emory University,https://www.niche.com/colleges/emory-university/,34,26680,48914,57948,57948,9670,7346,1250,66000,"ATLANTA, GA","201 DOWMAN DR ATLANTA, GA 30322",4:1,11,January 1,90,92,7022,79,2,18,6,Private,"[33.790135, -84.3254849]",7058,5506,12464,23933,48971,57948,7101
University of North Carolina at Chapel Hill,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/,35,10614,18066,7020,37360,7014,5240,1290,55600,"CHAPEL HILL, NC","OFFICE OF UNDERGRADUATE ADMISSIONS 174 COUNTRY CLUB RD CHAPEL HILL, NC 27514",9:1,17,January 15,91,94,19939,0,0,19,5,Public College,"[35.9124021, -79.0443242]",3296,5441,11306,18991,23695,22190,19939
Davidson College,https://www.niche.com/colleges/davidson-college/,36,26704,46496,57150,57150,7950,7800,1000,58900,"DAVIDSON, NC","405 N MAIN ST DAVIDSON, NC 28035",9:1,17,January 13,92,88,1927,0,0,16,27,Private,"[35.5022671, -80.8475935]",7547,10011,9719,15671,41495,57150,1927
Barnard College,https://www.niche.com/colleges/barnard-college/,37,26009,53817,62525,62525,11738,7626,1150,57900,"NEW YORK, NY","3009 BROADWAY NEW YORK, NY 10027",10:1,9,January 6,92,90,3091,351,0,20,-1,Private,"[40.8091913, -73.9637535]",9117,12162,14087,26150,53452,62525,3442
Washington and Lee University,https://www.niche.com/colleges/washington-and-lee-university/,38,24733,55567,68045,68045,8945,7975,2024,76100,"LEXINGTON, VA","204 WEST WASHINGTON ST LEXINGTON, VA 24450",7:1,17,January 1,95,94,1887,11,1,12,34,Private,"[37.7862592, -79.4442916]",0,377,5462,12731,45417,68045,1898
Boston University,https://www.niche.com/colleges/boston-university/,39,27829,51565,66670,66670,11260,6140,1000,65300,"BOSTON, MA","ONE SILBER WAY BOSTON, MA 02215",5:1,14,January 6,89,93,17734,725,3,17,3,Private,"[42.3496156, -71.0998574]",10164,9536,14838,24109,48841,66670,18459
New York University,https://www.niche.com/colleges/new-york-university/,40,29499,47096,58168,58168,14660,5612,752,61900,"NEW YORK, NY","70 WASHINGTON SQ SOUTH NEW YORK, NY 10012",3:1,12,January 5,87,91,28354,0,3,24,2,Private,"[40.7293925, -73.9971303]",15298,11334,16039,36323,58906,58168,28354
